SMILES,LOGS
O[C@@H]1C[C@](O)(C[C@@H](OC(=O)\C=C\C2=CC(O)=C(O)C=C2)[C@@H]1O)C(O)=O,-2.01
CC(=O)N[C@@H]1[C@@H](O)C[C@](O)(O[C@H]1[C@H](O)[C@H](O)CO)C(O)=O,-0.13
CC(C)CC(=O)N[C@@H](C)C(O)=O,-1.2
NC1=NC(=O)C2=C(NC[C@H](CNC3=CC=C(C=C3)C(=O)NC(CCC(O)=O)C(O)=O)N2)N1,-3.22
NC(N)=O,0.84
OC[C@@H](O)C(O)[C@H](O)CO,0.64
OC[C@@H](O)[C@H](O)[C@H](O)[C@@H](O)C(O)=O,-0.09
[H]OC([H])([H])C([H])([H])C1=C([H])N([H])C2=C([H])C([H])=C([H])C([H])=C12,-2
CN1[C@H]2C[C@@H](C[C@@H]1[C@H]1O[C@@H]21)OC(=O)[C@H](CO)C1=CC=CC=C1,-1.66
OC[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO,0.1
OC(CCCCCCCC(O)=O)C(O)=O,-1.95
NCCC1=CNC2=CC=C(O)C=C12,-1.85
CC(C)[C@H](N)C(O)=O,0.26
[H][C@@]12CC[C@](O)([C@H](C)O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,-3.91
CC=O,0.71
OC(=O)C1=CN=CC=C1,-0.17
CC(=O)N[C@@H](CC1=CC=C(O)C=C1)C(O)=O,-1.95
NC1=NC=NC2=C1N=CN2[C@H]1C[C@H](O)[C@@H](CO)O1,-1.37
OC1=CC(O)=C2C(OC(=C(O)C2=O)C2=CC(O)=C(O)C(O)=C2)=C1,-3.02
COC1=CC2=C(NC=C2CCN)C=C1,-2.38
O=C\C=C\C1=CC=CC=C1,-2.51
N[C@@H](CCC(N)=O)C(O)=O,-0.17
C[N+](C)(C)CCO,-1.59
CCCCCCCCCCCCCCCCCC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C,-7.68
NCCCCNCCCN,-0.65
[H][C@](O)(CCCCC)\C=C\[C@@]1([H])C(=O)C[C@]([H])(O)[C@]1([H])C\C=C/CCCC(O)=O,-3.61
CC(=C)[C@@H]1CCC(C)=CC1,-2.47
OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(=O)NC1=O,-0.26
C[C@@H](N)C(O)=O,0.7
[H]OC(=O)[C@]([H])(O[H])C([H])([H])C1=C([H])N([H])C2=C([H])C([H])=C([H])C([H])=C12,-1.99
CC[C@H](C)[C@H](N)C(O)=O,-0.06
OC(=O)CC1=CC=CC=C1,-1.58
N[C@@H](CC(N)=O)C(O)=O,0.1
C[C@H](CO)C(O)=O,0.74
CC(C)CC=O,-0.71
[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@@H](O)C[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCC(O)=O,-4.3
